"","...1","i","df_name","k","df_name_specific","Time","CalendarURL","Location"
"41",41,10,"Carrer de Vallmajor",15,"Carrer de Vallmajor 17","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/35350000017000170","Delante de casa"
"42",42,10,"Carrer de Vallmajor",20,"Carrer de Vallmajor 25","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/35350000025000250","Delante de casa"
"43",43,10,"Carrer de Vallmajor",25,"Carrer de Vallmajor 30","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/35350000030000300","Delante de casa"
"44",44,11,"Torrent de Lligalbé",1,"Torrent de Lligalbé 2","Jueves, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/18490100002000020","Delante de casa"
"45",45,11,"Torrent de Lligalbé",5,"Torrent de Lligalbé 8","Jueves, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/18490100008000080","Delante de casa"
"46",46,12,"Carrer de Rosa Sensat",1,"Carrer de Rosa Sensat 1","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/70066300001000010","Delante de casa"
"47",47,12,"Carrer de Rosa Sensat",5,"Carrer de Rosa Sensat 5","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/70066300005000050","Delante de casa"
"48",48,12,"Carrer de Rosa Sensat",10,"Carrer de Rosa Sensat 10","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/70066300010000100","Delante de casa"
"49",49,12,"Carrer de Rosa Sensat",15,"Carrer de Rosa Sensat 17","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/70066300017000170","Delante de casa"
"50",50,12,"Carrer de Rosa Sensat",20,"Carrer de Rosa Sensat 22","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/70066300022000220","Delante de casa"
"51",51,12,"Carrer de Rosa Sensat",25,"Carrer de Rosa Sensat 27","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/70066300027000270","Delante de casa"
"52",52,13,"Carrer de Sant Adrià",1,"Carrer de Sant Adrià 1 - 9","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29570900001000090","Delante de casa"
"53",53,13,"Carrer de Sant Adrià",5,"Carrer de Sant Adrià 10I","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29570900010I0010I","Delante de casa"
"54",54,13,"Carrer de Sant Adrià",10,"Carrer de Sant Adrià 14 - 16","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29570900014000160","Delante de casa"
"55",55,13,"Carrer de Sant Adrià",15,"Carrer de Sant Adrià 19","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29570900019000190","Delante de casa"
"56",56,13,"Carrer de Sant Adrià",20,"Carrer de Sant Adrià 22X","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29570900022X0022X","Delante de casa"
"57",57,13,"Carrer de Sant Adrià",25,"Carrer de Sant Adrià 26X","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29570900026X0026X","Delante de casa"
"58",58,14,"Carrer d'Alfarràs",1,"Carrer d'Alfarràs 1","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/00840000001000010","Delante de casa"
"59",59,14,"Carrer d'Alfarràs",5,"Carrer d'Alfarràs 5","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/00840000005000050","Delante de casa"
"60",60,14,"Carrer d'Alfarràs",10,"Carrer d'Alfarràs 10","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/00840000010000100","Delante de casa"
"61",61,14,"Carrer d'Alfarràs",15,"Carrer d'Alfarràs 15","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/00840000015000150","Delante de casa"
"62",62,14,"Carrer d'Alfarràs",20,"Carrer d'Alfarràs 20","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/00840000020000200","Delante de casa"
"63",63,14,"Carrer d'Alfarràs",25,"Carrer d'Alfarràs 28","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/00840000028000280","Delante de casa"
"64",64,15,"Avinguda de l'Alzinar",1,"Avinguda de l'Alzinar 1","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/10980400001000010","Delante de casa"
"65",65,15,"Avinguda de l'Alzinar",5,"Avinguda de l'Alzinar 4X","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/10980400004X0004X","Delante de casa"
"66",66,15,"Avinguda de l'Alzinar",10,"Avinguda de l'Alzinar 7","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/10980400007000070","Delante de casa"
